"Date","Symbol","Security Name","Client Name","Buy / Sell","Quantity Traded ","Trade Price / Wght. Avg. Price","Remarks"
"10-Jan-2018","DHFL","Dewan Housing Fin Corp","HAUCK &amp; AUFHAUSER PRIVATBANKIERS KGAA  NIEDERLASSUNG LUXEMB","SELL","2,20,000","625.00","-"
"10-Jan-2018","DHFL","Dewan Housing Fin Corp","OKOWORLD GROWING MARKETS 2.0","BUY","2,20,000","625.00","-"
"11-Jan-2018","BIOCON","Biocon Limited","HAUCK &amp; AUFHAUSER PRIVATBANKIERS KGAA  NIEDERLASSUNG LUXEMB","SELL","2,00,000","542.00","-"
"11-Jan-2018","BIOCON","Biocon Limited","OKOWORLD GROWING MARKETS 2.0","BUY","2,00,000","542.00","-"
"11-Jan-2018","TITAN","Titan Company Limited","HAUCK &amp; AUFHAUSER PRIVATBANKIERS KGAA  NIEDERLASSUNG LUXEMB","SELL","2,50,000","918.00","-"
"11-Jan-2018","TITAN","Titan Company Limited","OKOWORLD GROWING MARKETS 2.0","BUY","2,50,000","918.00","-"
"15-Jan-2018","JISLJALEQS","Jain Irrigation Systems L","HAUCK &amp; AUFHAUSER PRIVATBANKIERS KGAA  NIEDERLASSUNG LUXEMB","SELL","7,50,000","142.00","-"
"15-Jan-2018","JISLJALEQS","Jain Irrigation Systems L","OKOWORLD GROWING MARKETS 2.0","BUY","7,50,000","142.00","-"
"15-Jan-2018","POWERGRID","Power Grid Corporation of","HAUCK &amp; AUFHAUSER PRIVATBANKIERS KGAA  NIEDERLASSUNG LUXEMB","SELL","6,00,000","196.00","-"
"15-Jan-2018","POWERGRID","Power Grid Corporation of","OKOWORLD GROWING MARKETS 2.0","BUY","6,00,000","196.00","-"
"22-Jan-2018","HIMATSEIDE","Himatsingka Seide Ltd","ANURADHA HIMATSINGKA","SELL","2,52,000","398.00","-"
"22-Jan-2018","HIMATSEIDE","Himatsingka Seide Ltd","VIKRAM HIMATSINGKA","BUY","2,52,000","398.00","-"
"26-Feb-2018","COFFEEDAY","Coffee Day Enterprise Ltd","KKR MAURITIUS PE INVESTMENTS II LTD","SELL","55,00,000","324.00","-"
"26-Feb-2018","COFFEEDAY","Coffee Day Enterprise Ltd","MALAVIKA HEGDE","BUY","55,00,000","324.00","-"
"06-Mar-2018","GAYAPROJ","Gayatri Projects Ltd","FORSTA AP-FONDEN","BUY","11,07,180","208.70","-"
"06-Mar-2018","GAYAPROJ","Gayatri Projects Ltd","GMO COMPLETION FUND MASTER PORTFOLIO","BUY","11,91,996","208.70","-"
"06-Mar-2018","GAYAPROJ","Gayatri Projects Ltd","GMO EMERGING DOMESTIC OPPORTUNITIES FUND ","BUY","11,25,055","208.70","-"
"06-Mar-2018","GAYAPROJ","Gayatri Projects Ltd","M/S MENTOR CAPITAL LIMITED","SELL","47,67,334","208.70","-"
