2013-06-26,22.85,22.85,18.1,18.450001,18.450001,12210.0
2013-06-27,19.5,19.5,18.0,18.0,18.0,795.0
2013-06-28,18.0,18.0,18.0,18.0,18.0,1000.0
2013-07-01,19.85,19.85,16.5,16.5,16.5,440.0
2013-07-02,16.9,17.75,15.15,17.5,17.5,62032.0
2013-07-03,16.200001,17.950001,16.200001,16.549999,16.549999,500.0
2013-07-04,17.049999,18.450001,16.0,16.049999,16.049999,5952.0
2013-07-05,16.1,16.450001,15.3,15.95,15.95,3817.0
2013-07-08,16.0,16.0,15.6,15.6,15.6,705.0
2013-07-09,14.8,14.8,14.8,14.8,14.8,25.0
2013-07-10,14.0,15.85,14.0,15.2,15.2,1440.0
2013-07-11,16.5,16.5,14.5,16.4,16.4,54376.0
2013-07-12,15.05,16.75,15.0,15.75,15.75,13941.0
2013-07-15,16.0,16.0,16.0,16.0,16.0,4000.0
2013-07-16,16.950001,17.0,16.0,16.1,16.1,3150.0
2013-07-17,16.35,16.35,15.95,15.95,15.95,380.0
2013-07-18,15.95,15.95,15.95,15.95,15.95,750.0
2013-07-19,15.4,15.5,15.15,15.3,15.3,4400.0
2013-07-22,15.35,15.4,15.35,15.35,15.35,600.0
2013-07-23,17.65,17.65,12.3,12.3,12.3,60829.0
2013-07-24,9.85,9.85,9.85,9.85,9.85,35562.0
2013-07-25,8.9,8.9,8.9,8.9,8.9,18182.0
2013-07-26,8.05,8.05,8.05,8.05,8.05,7044.0
2013-07-29,7.25,8.85,7.25,8.85,8.85,297832.0
2013-07-30,8.85,9.5,8.0,8.85,8.85,59022.0
2013-07-31,8.4,8.6,8.0,8.35,8.35,48025.0
2013-08-01,8.65,8.65,7.75,8.0,8.0,14221.0
2013-08-02,8.05,8.05,7.2,7.9,7.9,63421.0
2013-08-05,8.0,8.0,7.6,7.75,7.75,537.0
2013-08-06,7.75,8.2,7.65,7.7,7.7,4679.0
2013-08-07,7.7,8.25,7.45,7.45,7.45,2815.0
2013-08-08,8.0,8.15,7.75,8.15,8.15,4288.0
2013-08-12,8.85,8.9,8.5,8.75,8.75,6215.0
2013-08-13,9.0,9.4,8.65,9.1,9.1,10772.0
2013-08-14,9.5,9.55,9.0,9.5,9.5,4647.0
2013-08-16,8.65,9.4,8.6,9.1,9.1,6516.0
2013-08-19,8.5,8.5,8.2,8.25,8.25,456.0
2013-08-20,8.0,8.0,7.6,7.6,7.6,3220.0
2013-08-21,8.0,8.3,7.0,7.45,7.45,2616.0
2013-08-22,7.0,7.9,7.0,7.85,7.85,3119.0
2013-08-23,7.85,7.85,7.85,7.85,7.85,0.0
2013-08-26,8.6,8.6,8.2,8.6,8.6,6447.0
2013-08-27,8.0,8.2,7.75,7.75,7.75,13494.0
2013-08-28,7.1,8.4,7.1,7.75,7.75,5224.0
2013-08-29,7.25,8.3,7.25,8.3,8.3,22704.0
2013-08-30,8.5,8.5,7.65,8.2,8.2,666.0
2013-09-02,8.5,8.5,8.4,8.45,8.45,143.0
2013-09-03,8.5,8.7,8.25,8.7,8.7,3105.0
2013-09-04,8.05,8.95,7.85,8.95,8.95,1150.0
2013-09-05,8.75,8.75,8.45,8.5,8.5,1154.0
2013-09-06,8.5,8.5,8.5,8.5,8.5,501.0
2013-09-10,8.0,9.0,8.0,8.9,8.9,207.0
2013-09-11,10.0,10.0,7.85,8.8,8.8,2930.0
2013-09-12,9.0,9.0,8.95,8.95,8.95,285.0
2013-09-13,9.5,9.5,8.05,9.0,9.0,1143.0
2013-09-16,8.75,8.75,7.7,8.2,8.2,24658.0
2013-09-17,8.3,8.3,7.75,8.15,8.15,235.0
2013-09-18,7.85,8.4,7.85,7.9,7.9,300.0
2013-09-19,7.95,7.95,7.85,7.9,7.9,710.0
2013-09-20,7.9,7.9,7.9,7.9,7.9,70.0
2013-09-23,8.0,8.0,7.75,7.75,7.75,501.0
2013-09-24,8.4,8.4,8.0,8.0,8.0,45.0
2013-09-25,8.0,8.0,8.0,8.0,8.0,200.0
2013-09-26,8.0,8.0,8.0,8.0,8.0,1870.0
2013-09-27,7.95,7.95,7.65,7.65,7.65,129.0
2013-09-30,7.65,7.65,7.65,7.65,7.65,0.0
2013-10-01,7.9,8.0,7.85,7.85,7.85,2172.0
2013-10-03,7.6,8.9,7.3,7.8,7.8,5685.0
2013-10-04,7.65,7.65,7.65,7.65,7.65,334.0
2013-10-07,7.75,7.75,7.35,7.4,7.4,7300.0
2013-10-08,8.85,8.85,8.85,8.85,8.85,56323.0
2013-10-09,8.85,10.6,8.85,9.45,9.45,120854.0
2013-10-10,9.95,11.0,9.95,10.85,10.85,104018.0
2013-10-11,10.75,10.9,10.0,10.25,10.25,83548.0
2013-10-14,10.05,10.6,9.7,10.35,10.35,110330.0
2013-10-15,10.45,10.75,10.2,10.4,10.4,18088.0
2013-10-17,10.0,10.5,9.4,10.45,10.45,13072.0
2013-10-18,10.1,10.3,10.05,10.05,10.05,4656.0
2013-10-21,10.2,11.0,10.0,10.85,10.85,18222.0
2013-10-22,10.6,10.6,10.0,10.0,10.0,6677.0
2013-10-23,9.8,10.1,9.25,10.0,10.0,6531.0
2013-10-24,10.0,10.0,9.4,9.4,9.4,5474.0
2013-10-25,9.1,9.1,9.1,9.1,9.1,20.0
2013-10-28,9.0,9.0,8.65,8.65,8.65,2000.0
2013-10-29,9.0,9.0,9.0,9.0,9.0,375.0
2013-10-30,9.0,9.0,9.0,9.0,9.0,1.0
2013-10-31,9.4,9.4,9.4,9.4,9.4,250.0
2013-11-01,9.85,9.85,9.0,9.0,9.0,880.0
2013-11-05,8.65,9.45,8.6,8.95,8.95,5355.0
2013-11-06,8.95,8.95,8.95,8.95,8.95,0.0
2013-11-07,8.6,8.6,8.6,8.6,8.6,500.0
2013-11-08,8.2,9.0,8.2,9.0,9.0,5405.0
2013-11-11,8.6,8.6,8.6,8.6,8.6,100.0
2013-11-12,8.35,8.35,8.35,8.35,8.35,160.0
2013-11-13,8.35,8.35,8.0,8.0,8.0,200.0
2013-11-14,7.6,8.4,7.6,8.4,8.4,6716.0
2013-11-18,8.15,8.15,8.15,8.15,8.15,1500.0
2013-11-19,8.4,8.4,7.75,7.75,7.75,500.0
2013-11-20,8.1,8.1,8.1,8.1,8.1,500.0
2013-11-21,8.0,8.0,8.0,8.0,8.0,1000.0
2013-11-22,8.05,8.05,8.05,8.05,8.05,10.0
2013-11-25,8.45,8.45,8.45,8.45,8.45,510.0
2013-11-26,8.5,8.75,8.5,8.75,8.75,698.0
2013-11-27,8.75,9.1,8.75,9.1,9.1,2000.0
2013-11-28,8.9,9.55,8.9,9.55,9.55,8595.0
2013-11-29,10.0,10.0,9.95,9.95,9.95,211.0
2013-12-02,9.7,9.7,9.7,9.7,9.7,8.0
2013-12-03,9.75,9.75,9.75,9.75,9.75,1000.0
2013-12-04,9.3,9.9,9.3,9.9,9.9,510.0
2013-12-05,9.45,10.1,9.45,10.1,10.1,50.0
2013-12-06,10.0,10.0,10.0,10.0,10.0,100.0
2013-12-09,9.5,9.5,9.5,9.5,9.5,1000.0
2013-12-10,9.5,9.5,9.05,9.4,9.4,627.0
2013-12-11,9.0,9.85,8.95,9.85,9.85,1186.0
2013-12-12,9.85,9.85,9.85,9.85,9.85,0.0
2013-12-13,9.85,9.85,9.85,9.85,9.85,0.0
2013-12-16,9.85,9.85,9.85,9.85,9.85,0.0
2013-12-17,9.4,9.4,9.4,9.4,9.4,3.0
2013-12-18,9.4,9.4,9.4,9.4,9.4,0.0
2013-12-19,8.95,8.95,8.95,8.95,8.95,550.0
2013-12-20,8.95,8.95,8.95,8.95,8.95,300.0
