SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,09-OCT-2018,40.0,40.95,39.2,39.55,20490
21STCENMGM,09-OCT-2018,25.75,25.75,25.75,25.75,475
3IINFOTECH,09-OCT-2018,3.25,3.75,3.25,3.5,4863462
3MINDIA,09-OCT-2018,21749.0,21920.0,21200.0,21400.2,1147
3RDROCK,09-OCT-2018,68.0,68.0,68.0,68.0,5200
5PAISA,09-OCT-2018,209.7,214.65,201.0,203.3,6509
63MOONS,09-OCT-2018,63.95,65.5,62.8,64.45,120170
8KMILES,09-OCT-2018,140.8,140.8,140.8,140.8,12150
A2ZINFRA,09-OCT-2018,9.3,9.65,9.0,9.65,784549
AARTIDRUGS,09-OCT-2018,557.3,571.95,555.0,560.55,17106
AARTIIND,09-OCT-2018,1252.0,1252.0,1213.85,1229.4,34022
AARVEEDEN,09-OCT-2018,23.65,24.2,23.1,23.1,6781
AARVI,09-OCT-2018,48.5,51.0,48.2,51.0,6000
AAVAS,09-OCT-2018,762.0,785.0,731.0,767.7,293295
ABAN,09-OCT-2018,73.4,75.7,71.85,74.15,853264
ABB,09-OCT-2018,1384.9,1388.45,1344.2,1354.5,36623
ABBOTINDIA,09-OCT-2018,7254.0,7290.05,7125.0,7162.4,4461
ABCAPITAL,09-OCT-2018,105.1,107.7,104.05,105.0,1678879
ABFRL,09-OCT-2018,177.25,179.65,167.85,175.5,928713
ABGSHIP,09-OCT-2018,3.8,4.15,3.8,4.05,15600
ACC,09-OCT-2018,1486.0,1493.9,1445.6,1465.85,522994
ACCELYA,09-OCT-2018,1005.05,1020.05,975.0,980.65,2503
ACCURACY,09-OCT-2018,65.0,65.0,65.0,65.0,1600
